,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1900,7225000140,20150218T000000,330000.0,4.0,1.0,1100,5000,1.5,0,0,5,6,1100,0,1904,0,98055,47.4868,-122.204,1560,4838
5432,2568200290,20140826T000000,762500.0,4.0,2.5,3150,5979,2.0,0,0,3,9,3150,0,2005,0,98052,47.7082,-122.101,3150,6595
17941,8081020330,20140729T000000,1320000.0,4.0,3.25,3470,11843,1.0,0,3,3,11,2270,1200,1989,0,98006,47.5513,-122.135,3910,13247
9139,826000495,20150206T000000,557510.0,4.0,2.0,1580,4800,1.5,0,2,3,7,1580,0,1912,0,98136,47.5454,-122.383,1580,4800
4375,3812400854,20141028T000000,352800.0,4.0,2.0,2080,6360,1.0,0,0,3,7,1330,750,1960,0,98118,47.5392,-122.278,2080,6741
16159,2391602500,20140515T000000,512500.0,3.0,2.5,1840,2875,2.0,0,0,4,7,1840,0,1997,0,98116,47.562,-122.393,1240,5750
13284,7454000555,20150113T000000,272000.0,2.0,1.0,670,6300,1.0,0,0,4,6,670,0,1942,0,98126,47.5145,-122.374,740,6300
20427,7661600206,20150129T000000,262000.0,4.0,2.5,2070,8685,2.0,0,0,3,7,2070,0,2006,0,98188,47.4697,-122.267,2170,9715
9884,7183000060,20150325T000000,260000.0,4.0,2.5,2360,9647,1.0,0,2,3,8,1530,830,1964,0,98003,47.3367,-122.332,2580,9680
4702,4013800131,20140807T000000,267500.0,2.0,1.0,1747,12250,2.5,0,0,4,6,1747,0,1948,0,98001,47.3282,-122.285,1620,10300
20385,2781240040,20140806T000000,342000.0,3.0,2.0,1640,4802,1.0,0,0,3,8,1640,0,2010,0,98038,47.3538,-122.021,1940,4802
8567,8091410530,20150501T000000,270000.0,3.0,2.5,1540,7739,2.0,0,0,4,7,1540,0,1986,0,98030,47.3511,-122.169,1720,7200
20358,9265880170,20140826T000000,550000.0,4.0,2.5,2470,5954,2.0,0,0,3,8,2470,0,2013,0,98028,47.7685,-122.236,2470,4800
249,3797001895,20150422T000000,481000.0,3.0,1.75,1560,3000,1.0,0,0,4,6,770,790,1918,0,98103,47.6846,-122.345,1390,3000
4522,7748000025,20150412T000000,575000.0,2.0,1.75,1230,5418,1.0,0,0,3,8,990,240,1949,0,98117,47.6839,-122.376,1330,5074
12281,9191200435,20141113T000000,471000.0,4.0,1.75,1450,3750,1.0,0,0,4,7,950,500,1925,0,98105,47.6706,-122.3,1850,4000
12651,1424200035,20140523T000000,945000.0,4.0,2.0,2840,13367,1.0,0,0,3,7,1420,1420,1952,0,98004,47.6237,-122.21,2840,12744
1479,5266300140,20150408T000000,701000.0,4.0,1.5,1840,10080,2.0,0,0,3,8,1840,0,1907,0,98118,47.5575,-122.279,1830,5040
390,7972600860,20141210T000000,345000.0,4.0,1.0,1550,7620,1.5,0,0,3,7,1550,0,1957,0,98106,47.5287,-122.35,1450,7620
2887,2523069156,20141203T000000,520000.0,3.0,2.25,2510,43995,2.0,0,0,3,8,2510,0,1981,0,98027,47.4545,-121.988,2470,48351
13191,2473000720,20140717T000000,380000.0,4.0,2.25,1860,7980,1.0,0,0,4,8,1860,0,1966,0,98058,47.4524,-122.15,1860,8814
5188,2663000050,20140926T000000,525000.0,4.0,1.0,1570,4000,1.5,0,0,3,7,1570,0,1920,0,98102,47.6275,-122.321,1610,4000
18381,4024101254,20141204T000000,419995.0,3.0,2.25,1830,7500,1.0,0,0,4,7,1330,500,1968,0,98155,47.7574,-122.31,1830,8720
17391,3508100161,20150327T000000,500000.0,4.0,3.0,2570,9104,2.0,0,2,3,7,2570,0,1930,0,98116,47.5821,-122.401,1630,4950
2256,8880600070,20141112T000000,245000.0,4.0,2.0,1870,8750,1.0,0,2,3,7,1870,0,1977,0,98022,47.1985,-122.001,1770,8207
11152,9202600060,20140602T000000,535000.0,3.0,2.5,1690,9626,2.0,0,0,3,8,1690,0,1984,0,98027,47.5647,-122.092,1860,8958
10825,6388930570,20141023T000000,515700.0,3.0,2.5,2180,9722,2.0,0,0,3,8,2180,0,1994,0,98056,47.527,-122.173,2440,9722
63,9528102996,20141207T000000,549000.0,3.0,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090
21539,8902000201,20150219T000000,338500.0,3.0,2.25,1333,1470,3.0,0,3,3,7,1333,0,2009,0,98125,47.7058,-122.302,1360,1680
19115,2560805440,20150129T000000,283500.0,3.0,1.75,1250,5375,1.0,0,0,3,7,1250,0,1985,0,98198,47.3787,-122.323,1320,6258
11309,5379802650,20150225T000000,273000.0,3.0,1.0,1560,7800,1.0,0,0,3,7,1560,0,1955,0,98188,47.4549,-122.287,1468,9375
19881,2526059225,20150123T000000,952990.0,4.0,2.75,3550,6558,2.0,0,0,3,9,3550,0,2013,0,98052,47.7076,-122.115,3140,5617
19110,8651610580,20141107T000000,715000.0,4.0,2.5,2570,7980,2.0,0,0,3,9,2570,0,1998,0,98074,47.6378,-122.065,2760,6866
6122,6668900020,20150318T000000,420550.0,4.0,2.0,1370,8100,1.0,0,0,2,7,1370,0,1947,0,98155,47.749,-122.312,1280,8100
10900,1797500435,20150420T000000,570000.0,2.0,1.0,1060,4000,1.0,0,0,4,7,1060,0,1910,0,98115,47.6731,-122.315,1770,4000
16646,7853302140,20140524T000000,440500.0,3.0,2.5,2460,4399,2.0,0,0,3,7,2460,0,2007,0,98065,47.5415,-121.884,2060,4399
13287,3760500222,20140603T000000,830000.0,3.0,3.0,2080,10521,1.5,0,0,3,9,2080,0,2004,0,98034,47.6987,-122.228,3730,11840
5534,458000235,20150325T000000,525000.0,4.0,2.0,1540,3740,1.0,0,0,4,7,770,770,1946,0,98117,47.6886,-122.375,1090,5080
3177,2770605065,20141118T000000,450000.0,2.0,1.0,1180,6000,1.0,0,0,3,7,1180,0,1910,0,98119,47.6531,-122.373,1600,6000
5740,2597000006,20150309T000000,347500.0,3.0,1.5,1180,8353,1.0,0,0,3,7,1180,0,1960,0,98155,47.7652,-122.274,1710,8748
20312,7515000143,20140805T000000,399950.0,3.0,2.25,1360,1041,2.0,0,0,3,8,1094,266,2006,0,98117,47.6925,-122.375,1522,1382
12863,8651410330,20150306T000000,215150.0,3.0,1.0,920,4770,1.0,0,0,4,6,920,0,1969,0,98042,47.3654,-122.082,920,4770
7320,7844200425,20150414T000000,525000.0,4.0,2.0,2680,14157,1.0,0,0,3,8,1460,1220,1966,0,98188,47.4286,-122.292,2100,9199
5553,3295730050,20141001T000000,569000.0,3.0,2.5,2150,8060,2.0,0,0,3,8,2150,0,1995,0,98033,47.6952,-122.188,2150,7172
15333,4037800020,20141008T000000,497500.0,5.0,1.5,2170,8610,1.0,0,0,4,7,1230,940,1959,0,98008,47.6111,-122.126,1670,8610
14086,8146200150,20141110T000000,830000.0,4.0,2.25,2180,11056,1.0,0,0,3,8,1370,810,1963,0,98004,47.6042,-122.193,2090,8747
7096,2114300290,20140929T000000,411500.0,5.0,3.0,2420,7740,1.0,0,0,5,7,1360,1060,1929,1969,98106,47.536,-122.358,1840,6780
16781,3022039071,20140530T000000,800000.0,2.0,2.25,1730,31491,2.0,1,2,4,7,1730,0,1947,1988,98070,47.373000000000005,-122.464,1400,12410
6323,6141600179,20141112T000000,376000.0,3.0,2.25,1470,9140,2.0,0,2,3,7,1470,0,1982,0,98133,47.7162,-122.349,1400,8204
14165,8651442520,20141015T000000,228950.0,4.0,3.0,2160,5200,1.0,0,0,3,7,1320,840,1978,0,98042,47.3627,-122.091,1460,5144
780,7230200340,20150225T000000,305000.0,3.0,1.0,1250,23680,1.0,0,0,5,7,1250,0,1967,0,98059,47.475,-122.11,1450,23680
19284,7694600201,20150322T000000,300000.0,3.0,1.75,1420,7200,1.0,0,0,3,7,1000,420,1979,0,98146,47.5069,-122.367,1550,8640
12290,7714000310,20140719T000000,374950.0,4.0,2.5,2790,4650,2.0,0,0,3,8,2790,0,2004,0,98038,47.3557,-122.026,2850,4650
9938,8842400071,20140507T000000,352000.0,5.0,2.5,2420,8560,1.0,0,2,3,7,1620,800,1978,0,98118,47.532,-122.285,2210,7040
10893,9407100310,20141113T000000,312620.0,3.0,2.5,1260,11877,1.0,0,0,3,7,1260,0,1975,0,98045,47.4442,-121.762,1430,9790
6081,9510910250,20150120T000000,670000.0,4.0,2.5,2095,4569,2.0,0,0,3,9,2095,0,2002,0,98052,47.6603,-122.087,2095,4385
727,1932300075,20140910T000000,245000.0,2.0,1.0,1050,5900,1.0,0,0,3,7,1050,0,1950,0,98126,47.5326,-122.376,1280,5900
6715,8087800430,20150210T000000,602000.0,4.0,1.75,2430,14000,1.0,0,0,4,7,1580,850,1963,0,98052,47.6554,-122.134,1910,8285
18074,8019200823,20150209T000000,259000.0,4.0,1.5,1810,9000,1.5,0,0,3,7,1810,0,1960,0,98168,47.4911,-122.322,1520,9780
20728,3023000200,20150505T000000,380000.0,4.0,2.5,2110,5306,2.0,0,0,3,8,2110,0,2012,0,98038,47.356,-122.057,2250,5306
16533,9550204450,20141219T000000,651000.0,3.0,1.5,1890,4400,1.5,0,0,5,7,1890,0,1919,0,98105,47.6662,-122.326,1620,4080
19466,2397101185,20150303T000000,1500000.0,5.0,3.5,3520,5400,2.0,0,0,3,9,2400,1120,2008,0,98119,47.6364,-122.363,1360,3600
8916,7977201065,20150305T000000,740000.0,3.0,1.75,1380,4590,1.0,0,0,2,7,930,450,1950,0,98115,47.6841,-122.293,1320,4692
19447,3343902281,20150505T000000,310000.0,2.0,1.0,1020,8102,1.0,0,0,3,7,1020,0,1956,0,98056,47.5135,-122.193,1770,7291
9545,2658000115,20140618T000000,190000.0,1.0,1.0,720,4800,1.0,0,0,3,6,720,0,1914,0,98118,47.5303,-122.27,1240,4860
4560,3226049184,20150327T000000,325000.0,2.0,1.0,1060,6050,1.0,0,0,3,7,940,120,1939,0,98125,47.7028,-122.321,1540,5279
13634,5104520720,20140930T000000,353500.0,4.0,2.5,1770,9239,2.0,0,0,3,7,1770,0,2004,0,98038,47.3512,-122.006,2150,5450
923,3456000160,20140623T000000,800000.0,3.0,2.25,2380,11824,1.0,0,0,4,9,1450,930,1972,0,98040,47.5371,-122.218,2750,11491
19596,8961950410,20140707T000000,328000.0,3.0,2.0,2250,7904,1.5,0,0,3,8,2250,0,1998,0,98001,47.3165,-122.252,2460,8622
19727,8562780160,20150329T000000,334950.0,2.0,2.25,1240,750,2.0,0,0,3,7,1150,90,2008,0,98027,47.5322,-122.073,1240,750
17362,3760500514,20140912T000000,853505.0,3.0,2.5,2820,14890,1.0,0,4,3,9,1770,1050,1985,0,98034,47.7019,-122.228,3740,14890
17814,8944320100,20141027T000000,334500.0,3.0,2.5,1990,3694,2.0,0,0,3,8,1990,0,1989,0,98042,47.3872,-122.154,2110,3842
11570,3888100117,20141110T000000,510000.0,5.0,1.5,1550,9750,1.0,0,0,4,7,1550,0,1966,0,98033,47.6811,-122.169,1970,9750
15389,2923500010,20150114T000000,757500.0,5.0,2.25,3160,8065,2.0,0,0,3,8,3160,0,1977,0,98027,47.5678,-122.089,2540,7917
2272,3313600340,20140616T000000,183000.0,3.0,1.75,1070,8100,1.0,0,0,4,6,1070,0,1957,0,98002,47.2853,-122.22,1260,8100
6382,7504010780,20141226T000000,605000.0,4.0,2.25,2260,11900,2.0,0,0,3,9,2260,0,1976,0,98074,47.6415,-122.057,2470,11900
6261,8823902005,20150326T000000,848000.0,5.0,1.75,2290,4320,2.0,0,0,3,7,1980,310,1928,0,98105,47.664,-122.31,2870,4320
193,3663500060,20140625T000000,400000.0,3.0,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,1900,7818
11482,6819100111,20141211T000000,1125000.0,4.0,2.5,2520,2600,2.0,0,0,5,8,1670,850,1925,0,98119,47.6434,-122.358,2290,3600
1862,9201000320,20150416T000000,765000.0,4.0,2.25,2620,17366,1.0,0,3,3,9,1430,1190,1984,0,98075,47.584,-122.077,2620,15335
5708,5422810010,20140819T000000,350000.0,4.0,2.5,2810,10433,2.0,0,0,3,8,2810,0,2001,0,98022,47.1895,-122.015,2640,9240
4808,8650300190,20140521T000000,567000.0,3.0,2.5,2540,6093,2.0,0,0,3,9,2540,0,1999,0,98034,47.7042,-122.236,2540,5924
4187,952004745,20150304T000000,400800.0,4.0,1.0,1070,5750,1.0,0,0,3,6,870,200,1923,0,98126,47.56399999999999,-122.379,1270,5750
10749,3317500070,20150408T000000,1135000.0,4.0,2.75,3840,10004,1.0,0,2,4,9,2110,1730,1963,0,98040,47.5606,-122.225,3500,12118
1532,8165500830,20150327T000000,409900.0,3.0,2.5,1690,1200,2.0,0,0,3,8,1410,280,2013,0,98106,47.5389,-122.367,1690,1760
11786,4364700875,20140729T000000,237502.0,3.0,1.0,980,7560,1.0,0,0,3,7,980,0,1951,0,98126,47.5256,-122.375,1300,7560
723,7694800270,20150420T000000,636000.0,3.0,2.5,2140,2770,2.0,0,0,3,8,1770,370,2007,0,98052,47.6664,-122.131,2510,2708
6336,126049217,20140604T000000,400000.0,3.0,1.75,1530,10731,1.0,0,0,3,7,1530,0,1986,0,98028,47.7655,-122.244,2100,12593
12427,3291800140,20141107T000000,230000.0,3.0,1.0,1360,9310,1.0,0,0,4,7,1020,340,1980,0,98056,47.4901,-122.185,1480,8330
18736,2767604558,20140721T000000,512000.0,2.0,2.25,1170,1313,3.0,0,0,3,8,1170,0,2007,0,98107,47.6712,-122.378,1310,1304
6635,2697400020,20141031T000000,400000.0,3.0,2.0,1350,7216,1.0,0,0,3,7,1350,0,1964,0,98177,47.7616,-122.365,1920,7600
17351,2488200168,20140718T000000,725000.0,3.0,1.75,1530,4000,2.0,0,0,3,8,1530,0,1985,0,98136,47.5239,-122.388,2140,5000
20911,1934800180,20150210T000000,526000.0,3.0,2.5,1626,1583,2.5,0,0,3,8,1419,207,2007,0,98122,47.6031,-122.309,1400,1583
1014,342000570,20140909T000000,429000.0,2.0,1.0,1080,3600,1.0,0,0,3,7,1080,0,1922,0,98122,47.6078,-122.291,2230,4500
1894,3066120030,20150127T000000,1575000.0,4.0,3.75,3810,9916,2.0,0,0,3,11,3810,0,1989,0,98040,47.5739,-122.234,3040,11250
12502,9274201006,20140507T000000,705000.0,4.0,2.5,2650,4316,1.5,0,0,3,8,1520,1130,1905,2013,98116,47.5866,-122.389,1690,5625
323,7972000240,20150202T000000,240000.0,3.0,1.75,1510,10248,1.0,0,0,3,7,1510,0,1969,0,98023,47.2929,-122.371,1510,9753
2702,7555220140,20140916T000000,675000.0,4.0,2.75,2240,8937,1.0,0,0,4,8,1460,780,1976,0,98033,47.6495,-122.194,2360,9038
2109,8645540320,20141118T000000,307000.0,3.0,2.0,1790,7259,1.0,0,0,3,7,1390,400,1980,0,98058,47.4643,-122.171,1790,7700
1863,9151600695,20150304T000000,625000.0,3.0,2.0,2140,3600,2.0,0,0,3,8,1680,460,1911,1997,98116,47.5846,-122.383,2340,5400
1556,9406520550,20141027T000000,307500.0,3.0,2.25,1646,7364,2.0,0,0,3,7,1646,0,1994,0,98038,47.3646,-122.037,1975,9161
8131,2475900850,20141010T000000,212000.0,2.0,1.0,770,7000,1.0,0,0,3,6,770,0,1921,0,98024,47.5654,-121.89,1100,8777
12614,7202430150,20140709T000000,740000.0,4.0,2.5,3360,15091,2.0,0,0,3,9,3360,0,1997,0,98052,47.6649,-122.135,1930,9936
6760,4302200415,20141104T000000,339888.0,4.0,1.75,1440,6144,1.0,0,0,5,6,720,720,1947,0,98106,47.5257,-122.357,960,5160
9669,6752601110,20140512T000000,357000.0,4.0,2.5,2380,7066,2.0,0,0,4,7,2380,0,1997,0,98031,47.3982,-122.172,2310,8127
883,2436701200,20140912T000000,720000.0,3.0,1.75,2040,4000,2.0,0,0,5,7,1360,680,1924,0,98105,47.6675,-122.289,1610,4000
20429,6666830120,20140624T000000,745641.0,4.0,2.5,2440,4850,2.0,0,0,3,8,2440,0,2013,0,98052,47.7043,-122.114,2970,5450
4905,2212900470,20150211T000000,186000.0,3.0,1.0,1200,10080,1.0,0,0,4,7,1200,0,1969,0,98042,47.3261,-122.135,1230,9800
8461,4006000401,20140811T000000,140000.0,2.0,1.0,900,6400,1.0,0,0,2,6,900,0,1940,0,98118,47.5287,-122.281,1350,6405
8687,6822100750,20150508T000000,700000.0,3.0,1.75,1500,6000,1.0,0,0,5,7,850,650,1940,0,98199,47.6474,-122.402,1700,6000
7721,3333000775,20140903T000000,249900.0,3.0,1.0,1100,5000,1.0,0,0,3,7,1100,0,1960,0,98118,47.5433,-122.283,1020,5000
13483,1189000205,20150311T000000,400000.0,2.0,2.5,1170,1811,2.0,0,0,3,8,1170,0,2001,0,98122,47.6132,-122.297,1250,3146
18658,518000040,20150102T000000,440000.0,4.0,2.75,2420,10200,1.0,0,0,3,8,1220,1200,1962,0,98034,47.72,-122.236,2240,9750
17832,424049039,20140707T000000,570000.0,3.0,2.0,1640,2808,1.0,0,3,4,7,820,820,1924,0,98144,47.5945,-122.291,2270,5328
12183,6610000320,20140910T000000,710500.0,3.0,1.75,2040,4125,1.5,0,0,4,8,1540,500,1917,0,98107,47.6608,-122.359,1620,4400
13926,4222200120,20150205T000000,240000.0,3.0,2.0,1460,7526,1.0,0,0,3,7,1460,0,1968,0,98003,47.3463,-122.304,1580,7526
20778,6056110200,20140929T000000,555000.0,3.0,3.5,2100,2479,2.0,0,0,3,9,1450,650,2011,0,98118,47.562,-122.292,1800,2457
19413,7340600068,20140514T000000,215000.0,2.0,1.0,1240,7200,1.0,0,0,3,7,1240,0,1967,0,98168,47.4971,-122.282,1130,9200
6801,9523102580,20140523T000000,599000.0,3.0,2.75,1960,2500,1.5,0,0,5,7,1410,550,1926,0,98103,47.6744,-122.353,2040,5000
14862,9211500150,20150117T000000,235000.0,3.0,1.75,1480,6592,1.0,0,0,4,7,1080,400,1978,0,98023,47.2982,-122.378,1660,7150
4011,2473101140,20150428T000000,314950.0,3.0,1.0,1590,8470,1.0,0,0,4,7,1140,450,1967,0,98058,47.4473,-122.159,1570,9375
19159,104510230,20141119T000000,252000.0,3.0,2.0,1540,7210,2.0,0,0,4,7,1540,0,1984,0,98023,47.3128,-122.351,1500,7210
18333,2820069048,20150504T000000,468000.0,4.0,2.5,2480,176418,1.5,0,3,5,8,2480,0,1927,0,98022,47.1941,-122.038,1640,112384
8861,4310701565,20140916T000000,425000.0,3.0,3.25,1410,1350,3.0,0,0,3,8,1410,0,2005,0,98103,47.698,-122.34,1410,1253
13820,952006680,20150129T000000,550000.0,2.0,1.5,900,5750,1.0,0,2,3,7,900,0,1940,0,98116,47.5623,-122.384,1300,1413
5931,853600020,20140710T000000,840000.0,4.0,3.5,3840,85728,2.0,0,0,3,11,3840,0,1998,0,98014,47.615,-121.954,2430,42643
16144,7202271060,20150310T000000,610000.0,4.0,2.5,2980,5896,2.0,0,0,3,8,2980,0,2001,0,98053,47.6872,-122.036,2900,5712
8301,3450400330,20150220T000000,306500.0,3.0,1.5,1100,8140,1.0,0,0,4,7,1100,0,1965,0,98059,47.5004,-122.162,1430,7700
8080,1545807810,20141021T000000,118000.0,1.0,1.0,670,7957,1.0,0,0,4,6,670,0,1978,0,98038,47.3594,-122.056,1600,7957
6474,3630120480,20140602T000000,653000.0,3.0,2.5,2290,3475,2.0,0,0,3,9,2290,0,2006,0,98029,47.5551,-122.001,2340,3626
4938,8077200470,20140718T000000,590000.0,4.0,2.5,2290,11072,2.0,0,0,3,9,2290,0,1986,0,98074,47.6283,-122.03,2340,9774
